name,area,wage,experience,frim,others
数据开发工程师,东风东,13k-18k,"13k-18k
                        经验3-5年 / 本科",顺畅科技,企业服务 / 未融资 / 500-2000人
数据架构师,冼村,20k-25k,"20k-25k
                        经验5-10年 / 大专",德勤,金融 / 不需要融资 / 2000人以上
数据应用开发工程师,嘉禾,15k-22k,"15k-22k
                        经验3-5年 / 不限",美业颜究院,"移动互联网,人工智能 / B轮 / 50-150人"
资深数据平台研发工程师,琶洲,20k-35k,"20k-35k
                        经验3-5年 / 本科",Fordeal,"电商,移动互联网 / C轮 / 2000人以上"
数据分析师,天河区,15k-30k,"15k-30k
                        经验3-5年 / 本科",诗悦网络,游戏 / 不需要融资 / 150-500人
游戏数据分析师,五山,15k-17k,"15k-17k
                        经验3-5年 / 大专",好玩互娱科技,游戏 / 不需要融资 / 150-500人
数据产品经理,跑马场,10k-20k,"10k-20k
                        经验3-5年 / 本科",瓷肌,"移动互联网,电商 / B轮 / 150-500人"
大数据开发工程师,广州大道南,10k-15k,"10k-15k
                        经验1-3年 / 本科",西洋汇,"电商,移动互联网 / 不需要融资 / 50-150人"
高级数据开发工程师,天河区,25k-35k,"25k-35k
                        经验5-10年 / 本科",众享（广州）科技有限公司,"移动互联网,社交 / 未融资 / 50-150人"
数据库管理员,天河城,10k-20k,"10k-20k
                        经验5-10年 / 本科",北京清能互联,移动互联网 / A轮 / 50-150人
大数据架构师,沙河,20k-30k,"20k-30k
                        经验5-10年 / 本科",广发银行信用卡中心,金融 / 不需要融资 / 2000人以上
电商数据分析专员（数据银行方向）,员村,8k-10k,"8k-10k
                        经验1-3年 / 本科",维达纸业（中国）有限公司,其他 / 上市公司 / 2000人以上
数据挖掘工程师,珠江新城,20k-30k,"20k-30k
                        经验5-10年 / 本科",中康资讯,"移动互联网,医疗丨健康 / 不需要融资 / 150-500人"
高级数据运营经理,海珠区,25k-50k,"25k-50k
                        经验3-5年 / 本科",字节跳动,文娱丨内容 / C轮 / 2000人以上
高级大数据开发工程师,天河区,35k-40k,"35k-40k
                        经验5-10年 / 本科",众享（广州）科技有限公司,"移动互联网,社交 / 未融资 / 50-150人"
大数据架构师,建设,25k-40k,"25k-40k
                        经验5-10年 / 硕士",中奥科技,"企业服务,数据服务 / A轮 / 150-500人"
数据挖掘顾问,员村,15k-25k,"15k-25k
                        经验3-5年 / 本科",海捷科技,"移动互联网,数据服务 / 不需要融资 / 50-150人"
数据分析,东圃,6k-8k,"6k-8k
                        经验1-3年 / 本科",优品数据,"数据服务,其他 / 未融资 / 50-150人"
数据挖掘工程师,珠江新城,20k-25k,"20k-25k
                        经验5-10年 / 本科",索信达数据,人工智能 / 上市公司 / 150-500人
海外数据分析专员,天河城,6k-12k,"6k-12k
                        经验不限 / 本科",冰鸟,"移动互联网,游戏 / 上市公司 / 150-500人"
大数据开发,客村,14k-28k,"14k-28k
                        经验3-5年 / 本科",拼多多,"电商,移动互联网 / 上市公司 / 2000人以上"
大数据开发工程师,珠江新城,10k-20k,"10k-20k
                        经验3-5年 / 本科",趣丸,游戏 / 不需要融资 / 500-2000人
数据运营经理,客村,10k-15k,"10k-15k
                        经验5-10年 / 本科",博之林,广告营销 / 不需要融资 / 50-150人
高级数据分析经理（专家岗）,员村,15k-30k,"15k-30k
                        经验3-5年 / 本科",金山办公软件,移动互联网 / 上市公司 / 2000人以上
高级数据分析师,五山,9k-12k,"9k-12k
                        经验1-3年 / 硕士",IESR,"教育,数据服务 / 不需要融资 / 50-150人"
广告数据运营,天河区,6k-12k,"6k-12k
                        经验1年以下 / 本科",栗子科技Chestnut,"移动互联网,广告营销 / 不需要融资 / 50-150人"
大数据架构师,越秀区,18k-30k,"18k-30k
                        经验不限 / 本科",纳斯威尔信息,"信息安全,数据服务 / 不需要融资 / 150-500人"
数据运营专员,体育中心,4k-6k,"4k-6k
                        经验1-3年 / 大专",汇聚支付,"金融,移动互联网 / 不需要融资 / 150-500人"
大数据开发工程师,水荫,8k-16k,"8k-16k
                        经验不限 / 本科",纳斯威尔信息,"信息安全,数据服务 / 不需要融资 / 150-500人"
大数据开发工程师,天河区,15k-25k,"15k-25k
                        经验1-3年 / 不限",网易,电商 / 上市公司 / 2000人以上
大数据运维工程师,海珠区,18k-23k,"18k-23k
                        经验5-10年 / 本科",信创电子,"电商,企业服务 / 不需要融资 / 50-150人"
数据分析师,滨江,4k-6k,"4k-6k
                        经验不限 / 本科",新南方集团,"电商,医疗丨健康 / 不需要融资 / 500-2000人"
数据通信工程师,五山,5k-10k,"5k-10k
                        经验1-3年 / 大专",光语通信设备,通讯电子 / 不需要融资 / 50-150人
数据分析专家,天河区,20k-40k,"20k-40k
                        经验5-10年 / 本科",广发银行信用卡中心,金融 / 不需要融资 / 2000人以上
高级数据运营,萝岗区,15k-23k,"15k-23k
                        经验5-10年 / 本科",乐源数字,"移动互联网,电商 / 未融资 / 500-2000人"
产品经理（数据治理方向）,越秀区,8k-12k,"8k-12k
                        经验1-3年 / 大专",光点科技,"移动互联网,数据服务 / 未融资 / 50-150人"
数据运营专员,白鹅潭,3k-6k,"3k-6k
                        经验不限 / 不限",安尔捷网络科技,"移动互联网,企业服务 / 未融资 / 50-150人"
业务经理（数据运营/项目管理）,新港,18k-25k,"18k-25k
                        经验3-5年 / 本科",明略科技集团,"数据服务,广告营销 / D轮及以上 / 2000人以上"
运维开发工程师（数据库）,天河区,15k-25k,"15k-25k
                        经验3-5年 / 不限",网易,电商 / 上市公司 / 2000人以上
高级数据分析师,天河区,13k-20k,"13k-20k
                        经验3-5年 / 本科",租租车,"旅游,消费生活 / C轮 / 500-2000人"
ETL/BI/数据仓库,五山,10k-17k,"10k-17k
                        经验3-5年 / 本科",CLPS,"数据服务,金融 / 未融资 / 500-2000人"
大数据开发工程师,黄阁,14k-25k,"14k-25k
                        经验5-10年 / 不限",亦策软件,数据服务 / 未融资 / 500-2000人
ETL数据工程师,天河公园,15k-20k,"15k-20k
                        经验3-5年 / 大专",博纳德,移动互联网 / 天使轮 / 150-500人
数据开发工程师,东圃,14k-18k,"14k-18k
                        经验5-10年 / 本科",汉得信息,"企业服务,数据服务 / 上市公司 / 2000人以上"
中级数据开发工程师,海珠区,15k-20k,"15k-20k
                        经验3-5年 / 本科",信用生活,"移动互联网,金融 / A轮 / 50-150人"
高级/资深数据分析师(024520),荔湾区,17k-22k,"17k-22k
                        经验5-10年 / 本科",唯品会,电商 / 上市公司 / 2000人以上
大数据开发工程师,东风东,15k-20k,"15k-20k
                        经验5-10年 / 本科",上海井胜,数据服务 / 未融资 / 500-2000人
资深DBA/数据库架构师,同德,17k-27k,"17k-27k
                        经验5-10年 / 本科",广州棒谷科技股份有限公司,电商 / 不需要融资 / 2000人以上
